paper,article_types,new_id,pm_central_id,abstract,value,hypothesis_sentence,hypothesis_entities,clean_hypothesis_entities,entity_1,entity_2,entity_3,entity_4,entity_5,entity_6,entity_7,entity_8,entity_9,entity_10,entity_11,entity_12,entity_13,entity_14,entity_15,entity_16,entity_17,entity_18,entity_19,entity_20,entity_21,entity_22,entity_23,entity_24,entity_25,entity_26,entity_27,entity_28,entity_29,entity_30
http://ns.inria.fr/covid19/PMC3243747,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC3243747#Hypothesis,PMC3243747,http://ns.inria.fr/covid19/PMC3243747#abstract,"Amiodarone [2-butyl-3-(3′,5′-diiodo-4’α-diethylaminoethoxybenzoyl)-benzofuran] (AMD), a class III antiarrhythmic drug, is known to cause idiosyncratic hepatotoxic reactions in human patients. One hypothesis for the etiology of idiosyncratic adverse drug reactions is that a concurrent inflammatory stress results in decreased threshold for drug toxicity. To explore this hypothesis in an animal model, male Sprague-Dawley rats were treated with nonhepatotoxic doses of AMD or its vehicle and with saline vehicle or lipopolysaccharide (LPS) to induce low-level inflammation. Elevated alanine aminotransferase (ALT), aspartate aminotransferase, alkaline phosphatase, and gamma-glutamyltransferase activities as well as increased total bile acid concentrations in serum and midzonal hepatocellular necrosis were observed only in AMD/LPS-cotreated rats. The time interval between AMD and LPS administration was critical: AMD injected 16 h before LPS led to liver injury, whereas AMD injected 2–12 h before LPS failed to cause this response. The increase in ALT activity in AMD/LPS cotreatment showed a clear dose-response relationship with AMD as well as LPS. The metabolism and hepatic accumulation of AMD were not affected by LPS coexposure. Serum concentration of tumor necrosis factor-alpha (TNF) was significantly increased by LPS and was slightly prolonged by AMD. In Hepac1c7 cells, addition of TNF potentiated the cytotoxicity of both AMD and its primary metabolite, mono-N-desethylamiodarone. In vivo inhibition of TNF signaling by etanercept attenuated the AMD/LPS-induced liver injury in rats. In summary, AMD treatment during modest inflammation induced severe hepatotoxicity in rats, and TNF contributed to the induction of liver injury in this animal model of idiosyncratic AMD-induced liver injury.",One hypothesis for the etiology of idiosyncratic adverse drug reactions is that a concurrent inflammatory stress results in decreased threshold for drug toxicity.,"['One_hypothesis', 'the_etiology', 'idiosyncratic_adverse_drug_reactions', 'stress', 'results', 'decreased_threshold', 'drug_toxicity']","['One hypothesis', 'the etiology', 'idiosyncratic adverse drug reactions', 'stress', 'results', 'decreased threshold', 'drug toxicity']",One hypothesis,the etiology,idiosyncratic adverse drug reactions,stress,results,decreased threshold,drug toxicity,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/58432d2ad49266df441de364700684534498b777,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC5970503#Hypothesis,PMC5970503,http://ns.inria.fr/covid19/58432d2ad49266df441de364700684534498b777#abstract,"BACKGROUND: Emergence and re-emergence of porcine epidemic diarrhea virus (PEDV) in North America, Asia and Europe has caused severe economic loss to the global swine industry. However, the virome of PEDV infected pigs and its effect on disease severity remains unknown. The advancements of sequencing technology have made it possible to characterize the entire microbiome of different body sites for any host. METHODS: The objective of this study was to characterize the RNA virome in PEDV-positive pigs using the hypothesis-free metagenomics approach based on next-generation sequencing. Specifically, 217 PEDV-positive swine fecal swab samples collected from diarrheic piglets over 17 US states during 2015–2016 were analyzed. RESULTS: A Kraken algorithm-based bioinformatics analysis revealed the presence of up to 9 different RNA genera besides PEDV (Alphacoronavirus genus), including Mamastrovirus (52%, 113/217), Enterovirus (39%, 85/217), Sapelovirus (31%, 67/217), Posavirus (30%, 66/217), Kobuvirus (23%, 49/217), Sapovirus (13%, 28/217), Teschovirus (10%, 22/217), Pasivirus (9%, 20/217), and Deltacoronavirus (3%, 6/217). There were 58 out of 217 piglets (27%) have PEDV infection alone whereas the remaining 159 (73%) shed 2 up to 9 different viruses. CONCLUSION: These findings demonstrated that PEDV infected diarrheic pigs had an extensive RNA viral flora consisting of four different families: Astroviridae, Picornaviridae, Caliciviridae, and Coronaviridae.",The objective of this study was to characterize the RNA virome in PEDV-positive pigs using the hypothesis-free metagenomics approach based on next-generation sequencing.,"['The_objective', 'this_study', 'PEDV-positive_pigs']","['The objective', 'this study', 'PEDV-positive pigs']",The objective,this study,PEDV-positive pigs,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/02272eaecb2fa1b98f52b0a5f7d3883889e11d94,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/02272eaecb2fa1b98f52b0a5f7d3883889e11d94#Hypothesis,,http://ns.inria.fr/covid19/02272eaecb2fa1b98f52b0a5f7d3883889e11d94#abstract,"Summary Interactions between swine influenza virus and swine alveolar macrophages were studied in vitro. Cell lysis occurred 24 h post-infection and was shown by a decreased neutral red uptake. UV inactivation of the influenza virus, or the addition of anti-influenza antibodies suppressed the virus-induced macrophage lysis. Inversely, pretreatment of swine alveolar macrophages by a phagocytosis inhibitor, namely cytochalasin B, increased the cell susceptibility to virus-induced lysis. The present in vitro studies support the hypothesis that defects in pulmonary antibacterial mechanisms associated with influenza infections are partly due to a direct toxic effect of the virus on alveolar macrophages. Furthermore, the studies show that virus-induced macrophage lysis is influenced by specific humoral immune responses and by modifications in microfilament cell functions.",The present in vitro studies support the hypothesis that defects in pulmonary antibacterial mechanisms associated with influenza infections are partly due to a direct toxic effect of the virus on alveolar macrophages.,"['The_present', 'vitro_studies', 'the_hypothesis', 'pulmonary_antibacterial_mechanisms', 'influenza_infections', 'a_direct_toxic_effect', 'the_virus', 'alveolar_macrophages']","['The present', 'vitro studies', 'the hypothesis', 'pulmonary antibacterial mechanisms', 'influenza infections', 'a direct toxic effect', 'the virus', 'alveolar macrophages']",The present,vitro studies,the hypothesis,pulmonary antibacterial mechanisms,influenza infections,a direct toxic effect,the virus,alveolar macrophages,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/PMC3457171,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC3457171#Hypothesis,PMC3457171,http://ns.inria.fr/covid19/PMC3457171#abstract,"In contrast to seasonal influenza virus infections, which typically cause significant morbidity and mortality in the elderly, the 2009 H1N1 virus caused severe infection in young adults. This phenomenon was attributed to the presence of cross-protective antibodies acquired by older individuals during previous exposures to H1N1 viruses. However, this hypothesis could not be empirically tested. To address this question, we compared viral replication and the development of the immune response in naïve young adult and aged female rhesus macaques infected with A/California/04/2009 H1N1 (CA04) virus. We show higher viral loads in the bronchoalveolar lavage (BAL) fluid and nasal and ocular swabs in aged animals, suggesting increased viral replication in both the lower and upper respiratory tracts. T cell proliferation was higher in the BAL fluid but delayed and reduced in peripheral blood in aged animals. This delay in proliferation correlated with a reduced frequency of effector CD4 T cells in old animals. Aged animals also mobilized inflammatory cytokines to higher levels in the BAL fluid. Finally, we compared changes in gene expression using microarray analysis of BAL fluid samples. Our analyses revealed that the largest difference in host response between aged and young adult animals was detected at day 4 postinfection, with a significantly higher induction of genes associated with inflammation and the innate immune response in aged animals. Overall, our data suggest that, in the absence of preexisting antibodies, CA04 infection in aged macaques is associated with changes in innate and adaptive immune responses that were shown to correlate with increased disease severity in other respiratory disease models.","However, this hypothesis could not be empirically tested.",[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/a263f1ec26e982b0f070dcb721f6e51e7d970889,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC4692406#Hypothesis,PMC4692406,http://ns.inria.fr/covid19/a263f1ec26e982b0f070dcb721f6e51e7d970889#abstract,"This study describes a spring 2013 outbreak of porcine epidemic diarrhea virus (PEDv), using data from 222 swine sites in 14 counties area in 4 contiguous states in the United States. During the outbreak, the premises-level incidence of PEDv was 40.5 percent (90/222 sites). One of the three companies from which data were collected had a lower incidence (19.5 percent) than the other two companies (41.1 and 47.2 percent). Sow sites had the highest incidence of PEDv during the outbreak (80.0 percent). Spatial analysis showed that PEDv was clustered rather than randomly distributed, which suggested that sites near a positive site had increased risk of acquiring PEDv infection. Meteorological data were used to investigate the hypothesis that PEDv was spread by air. If airborne dissemination played a role in this outbreak, we would expect the direction of disease spread to correlate with the predominant wind direction. Two methods were used to determine the direction of disease spread—linear direction mean analysis in ArcGIS and the direction test in ClusterSeer. The former method indicated PEDv spread was south to slightly southwest, and the latter indicated spread was to the southeast. The predominant wind direction during the month of the outbreak was toward the south, with some southeast and southwest winds; the strongest wind gusts were toward the southwest. These findings support the hypothesis that PEDv was spread by air. The results, however, should be interpreted cautiously because we did not have information on direct and indirect contacts between sites, such as movement of trucks, feed, pigs or people. These types of contacts should be evaluated before pathogen spread is attributed to airborne mechanisms. Although this study did not provide a definitive assessment of airborne spread of PEDv, we believe the findings justify additional research to investigate this potential mechanism of transmission.",Meteorological data were used to investigate the hypothesis that PEDv was spread by air.,"['Meteorological_data', 'the_hypothesis', 'PEDv', 'air']","['Meteorological data', 'the hypothesis', 'PEDv', 'air']",Meteorological data,the hypothesis,PEDv,air,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/1ec08de8b92b3b6c9be98dcd92db0ddf3efdad44,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC3152912#Hypothesis,PMC3152912,http://ns.inria.fr/covid19/1ec08de8b92b3b6c9be98dcd92db0ddf3efdad44#abstract,"BACKGROUND: FIV infection frequently compromises pregnancy under experimental conditions and is accompanied by aberrant expression of some placental cytokines. Trophoblasts produce numerous immunomodulators that play a role in placental development and pregnancy maintenance. We hypothesized that FIV infection may cause dysregulation of trophoblast immunomodulator expression, and aberrant expression of these molecules may potentiate inflammation and compromise pregnancy. The purpose of this project was to evaluate the expression of representative pro-(TNF-α, IFN-γ, IL-1β, IL-2, IL-6, IL-12p35, IL-12p40, IL-18, and GM-CSF) and anti-inflammatory cytokines (IL-4, IL-5, and IL-10); CD134, a secondary co-stimulatory molecule expressed on activated T cells (FIV primary receptor); the chemokine receptor CXCR4 (FIV co-receptor); SDF-1α, the chemokine ligand to CXCR4; and FIV gag in trophoblasts from early-and late-term pregnancy. METHODS: We used an anti-cytokeratin antibody in immunohistochemistry to identify trophoblasts selectively, collected these cells using laser capture microdissection, and extracted total RNA from the captured cell populations. Real time, reverse transcription-PCR was used to quantify gene expression. RESULTS: We detected IL-4, IL-5, IL-6, IL-1β, IL-12p35, IL-12p40, and CXCR4 in trophoblasts from early-and late-term pregnancy. Expression of cytokines increased from early to late pregnancy in normal tissues. A clear, pro-inflammatory microenvironment was not evident in trophoblasts from FIV-infected queens at either stage of pregnancy. Reproductive failure was accompanied by down-regulation of both pro-and anti-inflammatory cytokines. CD134 was not detected in trophoblasts, and FIV gag was detected in only one of ten trophoblast specimens collected from FIV-infected queens. CONCLUSION: Feline trophoblasts express an array of pro-and anti-inflammatory immunomodulators whose expression increases from early to late pregnancy in normal tissues. Non-viable pregnancies were associated with decreased expression of immunomodulators which regulate trophoblast invasion in other species. The detection of FIV RNA in trophoblasts was rare, suggesting that the high rate of reproductive failure in FIV-infected queens was not a direct result of viral replication in trophoblasts. The influence of placental immune cells on trophoblast function and pregnancy maintenance in the FIV-infected cat requires additional study.","We hypothesized that FIV infection may cause dysregulation of trophoblast immunomodulator expression, and aberrant expression of these molecules may potentiate inflammation and compromise pregnancy.","['FIV_infection', 'dysregulation', 'trophoblast_immunomodulator_expression', 'aberrant_expression', 'these_molecules', 'inflammation', 'compromise_pregnancy']","['FIV infection', 'dysregulation', 'trophoblast immunomodulator expression', 'aberrant expression', 'these molecules', 'inflammation', 'compromise pregnancy']",FIV infection,dysregulation,trophoblast immunomodulator expression,aberrant expression,these molecules,inflammation,compromise pregnancy,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/4b8427d9e340967ce0493055bfa9b3253f093207,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/4b8427d9e340967ce0493055bfa9b3253f093207#Hypothesis,,http://ns.inria.fr/covid19/4b8427d9e340967ce0493055bfa9b3253f093207#abstract,"Abstract Many mutational and structural analyses of the RNA signals propose a hypothesis that programmed frameshifting occurs by a specific interaction between ribosome and frameshifting signals comprised of a shifty site and a downstream RNA structure, in which the exact nature of the interaction has not yet been proven. To address this question, we analyzed the frameshifting sequence elements from animal or plant virus in yeast and Escherichia coli. Frameshifting efficiencies varied in yeast, but not in E. coli, depending on the specific conformation of mouse mammary tumor virus (MMTV) RNA pseudoknot. Similar changes in frameshifting efficiencies were observed in yeast, but not in E. coli, for the mutations in frameshifting sequence elements from cereal yellow dwarf virus serotype RPV (CYDV-RPV). The differential response of MMTV or CYDV-RPV frameshifting signal to prokaryotic and eukaryotic translational machineries implies that ribosome pausing alone is insufficient to mediate frameshifting, and additional events including specific interaction between ribosome and RNA structural element are required for efficient frameshifting. These results supports the hypothesis that frameshifting occurs by a specific interaction between ribosome and frameshifting signal.","Abstract Many mutational and structural analyses of the RNA signals propose a hypothesis that programmed frameshifting occurs by a specific interaction between ribosome and frameshifting signals comprised of a shifty site and a downstream RNA structure, in which the exact nature of the interaction has not yet been proven.","['Abstract_Many_mutational_and_structural_analyses', 'the_RNA_signals', 'a_hypothesis', 'frameshifting', 'a_specific_interaction', 'ribosome', 'frameshifting', 'signals', 'a_shifty_site', 'a_downstream_RNA_structure', 'the_exact_nature', 'the_interaction']","['Abstract Many mutational and structural analyses', 'the RNA signals', 'a hypothesis', 'frameshifting', 'a specific interaction', 'ribosome', 'frameshifting', 'signals', 'a shifty site', 'a downstream RNA structure', 'the exact nature', 'the interaction']",Abstract Many mutational and structural analyses,the RNA signals,a hypothesis,frameshifting,a specific interaction,ribosome,frameshifting,signals,a shifty site,a downstream RNA structure,the exact nature,the interaction,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/712c86986815982dc6d918b660f70f5e05616643,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC6797084#Hypothesis,PMC6797084,http://ns.inria.fr/covid19/712c86986815982dc6d918b660f70f5e05616643#abstract,"Human respiratory syncytial virus (RSV) is the most important cause of acute lower respiratory tract disease in infants worldwide. As a first line of defense against respiratory infections, innate immune responses, including the production of type I and III interferons (IFNs), play an important role. Upon infection with RSV, multiple pattern recognition receptors (PRRs) can recognize RSV-derived pathogen-associated molecular patterns (PAMPs) and mount innate immune responses. Retinoic-acid-inducible gene-I (RIG-I) and nucleotide-binding oligomerization domain-containing protein 2 (NOD2) have been identified as important innate receptors to mount type I IFNs during RSV infection. However, type I IFN levels remain surprisingly low during RSV infection despite strong viral replication. The poor induction of type I IFNs can be attributed to the cooperative activity of 2 unique, nonstructural (NS) proteins of RSV, i.e., NS1 and NS2. These viral proteins have been shown to suppress both the production and signaling of type I and III IFNs by counteracting a plethora of key host innate signaling proteins. Moreover, increasing numbers of IFN-stimulated genes (ISGs) are being identified as targets of the NS proteins in recent years, highlighting an underexplored protein family in the identification of NS target proteins. To understand the diverse effector functions of NS1 and NS2, Goswami and colleagues proposed the hypothesis of the NS degradasome (NSD) complex, a multiprotein complex made up of, at least, NS1 and NS2. Furthermore, the crystal structure of NS1 was resolved recently and, remarkably, identified NS1 as a structural paralogue of the RSV matrix protein. Unfortunately, no structural data on NS2 have been published so far. In this review, we briefly describe the PRRs that mount innate immune responses upon RSV infection and provide an overview of the various effector functions of NS1 and NS2. Furthermore, we discuss the ubiquitination effector functions of NS1 and NS2, which are in line with the hypothesis that the NSD shares features with the canonical 26S proteasome.","To understand the diverse effector functions of NS1 and NS2, Goswami and colleagues proposed the hypothesis of the NS degradasome (NSD) complex, a multiprotein complex made up of, at least, NS1 and NS2.","['the_diverse_effector_functions', 'NS1', 'NS2', 'Goswami', 'colleagues', 'the_hypothesis', 'the_NS_degradasome_(NSD)_complex', 'a_multiprotein_complex', 'at_least,_NS1', 'NS2']","['the diverse effector functions', 'NS1', 'NS2', 'Goswami', 'colleagues', 'the hypothesis', 'the NS degradasome (NSD) complex', 'a multiprotein complex', 'at least, NS1', 'NS2']",the diverse effector functions,NS1,NS2,Goswami,colleagues,the hypothesis,the NS degradasome (NSD) complex,a multiprotein complex,"at least, NS1",NS2,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/9cfada440e426dd4dabdb499d47ab2e7f9bad08c,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC5142621#Hypothesis,PMC5142621,http://ns.inria.fr/covid19/9cfada440e426dd4dabdb499d47ab2e7f9bad08c#abstract,"Infection with nidoviruses like corona- and arteriviruses induces a reticulovesicular network of interconnected endoplasmic reticulum (ER)-derived double-membrane vesicles (DMVs) and other membrane structures. This network is thought to accommodate the viral replication machinery and protect it from innate immune detection. We hypothesized that the innate immune response has tools to counteract the formation of these virus-induced replication organelles in order to inhibit virus replication. Here we have investigated the effect of type I interferon (IFN) treatment on the formation of arterivirus-induced membrane structures. Our approach involved ectopic expression of arterivirus nonstructural proteins nsp2 and nsp3, which induce DMV formation in the absence of other viral triggers of the interferon response, such as replicating viral RNA. Thus, this setup can be used to identify immune effectors that specifically target the (formation of) virus-induced membrane structures. Using large-scale electron microscopy mosaic maps, we found that IFN-β treatment significantly reduced the formation of the membrane structures. Strikingly, we also observed abundant stretches of double-membrane sheets (a proposed intermediate of DMV formation) in IFN-β-treated samples, suggesting the disruption of DMV biogenesis. Three interferon-stimulated gene products, two of which have been reported to target the hepatitis C virus replication structures, were tested for their possible involvement, but none of them affected membrane structure formation. Our study reveals the existence of a previously unknown innate immune mechanism that antagonizes the viral hijacking of host membranes. It also provides a solid basis for further research into the poorly understood interactions between the innate immune system and virus-induced replication structures.",We hypothesized that the innate immune response has tools to counteract the formation of these virus-induced replication organelles in order to inhibit virus replication.,"['the_innate_immune_response', 'tools', 'the_formation', 'these_virus-induced_replication_organelles', 'order', 'virus_replication']","['the innate immune response', 'tools', 'the formation', 'these virus-induced replication organelles', 'order', 'virus replication']",the innate immune response,tools,the formation,these virus-induced replication organelles,order,virus replication,,,,,,,,,,,,,,,,,,,,,,,,
http://ns.inria.fr/covid19/PMC1866055,"http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/spar/fabio/ResearchPaper,http://schema.org/ScholarlyArticle",http://example.org/hypothesis_ontology/PMC1866055#Hypothesis,PMC1866055,http://ns.inria.fr/covid19/PMC1866055#abstract,"During viral entry, the paramyxovirus fusion (F) protein fuses the viral envelope to a cellular membrane. Similar to other class I viral fusion glycoproteins, the F protein has two heptad repeat regions (HRA and HRB) that are important in membrane fusion and can be targeted by antiviral inhibitors. Upon activation of the F protein, HRA refolds from a spring-loaded, crumpled structure into a coiled coil that inserts a hydrophobic fusion peptide into the target membrane and binds to the HRB helices to form a fusogenic hairpin. To investigate how F protein conformational changes are regulated, we mutated in the Sendai virus F protein a highly conserved 10-residue sequence in HRA that undergoes major structural changes during protein refolding. Nine of the 15 mutations studied caused significant defects in F protein expression, processing, and fusogenicity. Conversely, the remaining six mutations enhanced the fusogenicity of the F protein, most likely by helping spring the HRA coil. Two of the residues that were neither located at “a” or “d” positions in the heptad repeat nor conserved among the paramyxoviruses were key regulators of the folding and fusion activity of the F protein, showing that residues not expected to be important in coiled-coil formation may play important roles in regulating membrane fusion. Overall, the data support the hypothesis that regions in the F protein that undergo dramatic changes in secondary and tertiary structure between the prefusion and hairpin conformations regulate F protein expression and activation.","Overall, the data support the hypothesis that regions in the F protein that undergo dramatic changes in secondary and tertiary structure between the prefusion and hairpin conformations regulate F protein expression and activation.","['Overall , the_data support', 'the_hypothesis', 'regions', 'the_F_protein', 'secondary_and_tertiary_structure', 'the_prefusion_and_hairpin_conformations', 'F_protein_expression', 'activation']","['Overall , the data support', 'the hypothesis', 'regions', 'the F protein', 'secondary and tertiary structure', 'the prefusion and hairpin conformations', 'F protein expression', 'activation']","Overall , the data support",the hypothesis,regions,the F protein,secondary and tertiary structure,the prefusion and hairpin conformations,F protein expression,activation,,,,,,,,,,,,,,,,,,,,,,
