object,pattern_match,merged_noun_chunks,merged_sent,keywords
"MUC1 variable number tandem repeats (VNTRs) conjugated to tumor-associated carbohydrate antigens (TACAs) have been shown to break self-tolerance in humanized MUC1 transgenic mice. Therefore, we hypothesize that a MUC1 VNTR TACA-conjugate can be successfully formulated into a liposome-based anti-cancer vaccine. The immunogenicity of the vaccine should be further augmented by incorporating surface displayed L-rhamnose (Rha) epitopes onto the liposomes to take advantage of a natural antibody-dependent antigen uptake mechanism. To validate our hypothesis we synthesized a 20-amino acid MUC1 glycopeptide containing a GalNAc-O-Thr (Tn) TACA by SPPS and conjugated it to a functionalized Toll-like receptor ligand (TLRL). An L-Rha-cholesterol conjugate was prepared using tetraethylene glycol (TEG) as a linker. The liposome-based anti-cancer vaccine was formulated by the extrusion method using TLRL-MUC1-Tn conjugate, Rha-TEG-cholesterol and 1,2-dipalmitoyl-sn-glycero-3-phosphocholine (DPPC) in a total lipid concentration of 30 mM. The stability, homogeneity and size characterization of the liposomes was evaluated by SEM and DLS measurements. The formulated liposomes demonstrated positive binding with both anti-Rha and mouse anti-human MUC1 antibodies. Groups of female BALB/c mice were immunized and boosted with a rhamnose-Ficoll (Rha-Ficoll) conjugate formulated with alum as adjuvant to generate the appropriate concentration of anti-Rha antibodies in the mice. Anti-Rha antibody titers were >25-fold higher in the groups of mice immunized with the Rha-Ficoll conjugate than the non-immunized control groups. The mice were then immunized with the TLRL-MUC1-Tn liposomal vaccine formulated either with or without the surface displaying Rha epitopes. Sera collected from the groups of mice initially immunized with Rha-Ficoll and later vaccinated with the Rha-displaying TLRL-MUC1-Tn liposomes showed a >8-fold increase in both anti-MUC1-Tn and anti-Tn antibody titers in comparison to the groups of mice that did not receive Rha-Ficoll. T-cells from BALB/c mice primed with a MUC1-Tn peptide demonstrated increased proliferation to the Rha-liposomal vaccine in the presence of antibodies isolated from Rha-Ficoll immunized mice compared to nonimmune mice, supporting the proposed effect on antigen presentation. The anti-MUC1-Tn antibodies in the vaccinated mice serum recognized MUC1 on human leukemia U266 cells. Because this vaccine uses separate rhamnose and antigenic epitope components, the vaccine can easily be targeted to different antigens or epitopes by changing the peptide without having to change the other components.","Therefore, we hypothesize that a MUC1 VNTR TACA-conjugate can be successfully formulated into a liposome-based anti-cancer vaccine.","['Therefore', ',', 'we', 'hypothesize', 'that', 'a_MUC1_VNTR_TACA-conjugate', 'can', 'be', 'successfully', 'formulated', 'into', 'a_liposome-based_anti-cancer_vaccine', '.']","Therefore , we hypothesize that a_MUC1_VNTR_TACA-conjugate can be successfully formulated into a_liposome-based_anti-cancer_vaccine .",['a_liposome-based_anti-cancer_vaccine']
"BACKGROUND: Mounting evidence suggests that holding multiple concurrent jobs in public and private (dual practice) is common among health workers in low- as well as high-income countries. Nurses are world’s largest health professional workforce and a critical resource for achieving Universal Health Coverage. Nonetheless, little is known about nurses’ engagement with dual practice. METHODS: We conducted a scoping review of the literature on nurses’ dual practice with the objective of generating hypotheses on its nature and consequences, and define a research agenda on the phenomenon. The Arksey and O’Malley’s methodological steps were followed to develop the research questions, identify relevant studies, include/exclude studies, extract the data, and report the findings. PRISMA guidelines were additionally used to conduct the review and report on results. RESULTS: Of the initial 194 records identified, a total of 35 met the inclusion criteria for nurses’ dual practice; the vast majority (65%) were peer-reviewed publications, followed by nursing magazine publications (19%), reports, and doctoral dissertations. Twenty publications focused on high-income countries, 16 on low- or middle-income ones, and two had a multi country perspective. Although holding multiple jobs not always amounted to dual practice, several ways were found for public-sector nurses to engage concomitantly in public and private employments, in regulated as well as in informal, casual fashions. Some of these forms were reported as particularly prevalent, from over 50% in Australia, Canada, and the UK, to 28% in South Africa. The opportunity to increase a meagre salary, but also a dissatisfaction with the main job and the flexibility offered by multiple job-holding arrangements, were among the reported reasons for engaging in these practices. DISCUSSION AND CONCLUSIONS: Limited and mostly circumstantial evidence exists on nurses’ dual practice, with the few existing studies suggesting that the phenomenon is likely to be very common and carry implications for health systems and nurses’ welfare worldwide. We offer an agenda for future research to consolidate the existing evidence and to further explore nurses’ motivation; without a better understanding of nurse dual practice, this will continue to be a largely ‘hidden’ element in nursing workforce policy and practice, with an unclear impact on the delivery of care. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (10.1186/s12960-018-0276-x) contains supplementary material, which is available to authorized users.","We conducted a scoping review of the literature on nurses’ dual practice with the objective of generating hypotheses on its nature and consequences, and define a research agenda on the phenomenon.","['We', 'conducted', 'a_scoping_review', 'of', 'the_literature', 'on', 'nurses’_dual_practice', 'with', 'the_objective', 'of', 'generating_hypotheses', 'on', 'its_nature', 'and', 'consequences', ',', 'and', 'define', 'a_research_agenda', 'on', 'the_phenomenon', '.']","We conducted a_scoping_review of the_literature on nurses’_dual_practice with the_objective of generating_hypotheses on its_nature and consequences , and define a_research_agenda on the_phenomenon .","['a_scoping_review', 'the_literature', 'nurses’_dual_practice', 'the_objective', 'generating_hypotheses', 'its_nature', 'consequences', 'a_research_agenda', 'the_phenomenon']"
"Abstract Enterohemorrhagic Escherichia coli (EHEC) O157:H7 strain EDL933 encodes the single chromosomal 9-O-acetylesterase NanS, and several copies of prophage-encoded 9-O-acetylesterases (NanS-p). These enzymes have recently been shown to cleave 5-N-acetyl-9-O-acetyl neuraminic acid (Neu5,9Ac2) to yield de-O-acetylated Neu5Ac, the latter of which may serve as a carbon and/or nitrogen source. In the current study, we investigated the NanS- and NanS-p-mediated digestion of synthetic O-acetylated neuraminic acids and bovine submaxillary glands mucin (BSM)-derived O-acetylneuraminic acids by high-performance thin-layer chromatography (HPTLC) and nano electrospray ionization mass spectrometry (nanoESI MS). Initial HPTLC analyses showed the expected activity of NanS and NanS-p variants for Neu5,9Ac2. However, all tested enzymes were unable to de-O-acetylate 5-N-acetyl-4-O-acetylneuraminic acid (Neu5,4 Ac2) in our test system. The nanoESI MS analysis of neuraminic acids after treatment of BSM with NanS-p gave evidence that NanS-p variants of EHEC O157:H7 strain EDL933 cleave off O-acetyl groups from mono-, di-, and tri-O-acetylated Neu5Ac and N-glycolylneuraminic acid (Neu5Gc), regardless of the carbon positions C7, C8 or C9 of the acetate esters. This enzyme activity leads to neuraminidase-accessible Neu5Ac and Neu5Gc on mucin glycans. Moreover, we could demonstrate by HPTLC analyses that recombinant Bacteroides thetaiotaomicron sialidase (BTSA-His) was able to cleave Neu5Ac and Neu5,9Ac2 from BSM and that the combination of BTSA-His with both NanS-His and NanS-p-His derivatives enhanced the release of de-O-acetylated core Neu5Ac and Neu5Gc from mammalian mucin O-glycans. Growth experiments with EHEC wildtype strain EDL933, its nanS and nanS/nanS-p1a-p7 mutant and exogenous BTSA-His in BSM demonstrated that the presence of BTSA-His enhanced growth of EDL933 and the nanS deletion mutant but not the nanS/nanS-p1a-p7 mutant. Thus, we hypothesize that the expression of sialic acid O-acetylesterases with a broad specificity could be an advantage in competition with the gut microbiota for nutrients and facilitate EHEC colonization in the human large intestine.","Thus, we hypothesize that the expression of sialic acid O-acetylesterases with a broad specificity could be an advantage in competition with the gut microbiota for nutrients and facilitate EHEC colonization in the human large intestine.","['Thus', ',', 'we', 'hypothesize', 'that', 'the_expression', 'of', 'sialic_acid_O-acetylesterases', 'with', 'a_broad_specificity', 'could', 'be', 'an_advantage', 'in', 'competition', 'with', 'the_gut_microbiota', 'for', 'nutrients', 'and', 'facilitate', 'EHEC_colonization', 'in', 'the_human_large_intestine', '.']","Thus , we hypothesize that the_expression of sialic_acid_O-acetylesterases with a_broad_specificity could be an_advantage in competition with the_gut_microbiota for nutrients and facilitate EHEC_colonization in the_human_large_intestine .","['the_expression', 'sialic_acid_O-acetylesterases', 'a_broad_specificity', 'competition', 'the_gut_microbiota', 'nutrients', 'EHEC_colonization', 'the_human_large_intestine']"
"The digestive tract is the entry site for transmissible gastroenteritis virus (TGEV). TGEV transmission can be prevented if local immunity is established with increased lymphocytes. The current parenteral mode of vaccination stimulates systemic immunity well, but it does not induce sufficient mucosal immunity. Retinoic acid (RA) plays an important role in the induction of cells that imprint gut-homing molecules. We examined whether RA assist parenteral vaccination of pigs could improve mucosal immunity. We demonstrated that elevated numbers of gut-homing CD8(+) T cells (which express α4β7 and CCR9 molecules) were presented in porcine inguinal lymph nodes and were recruited to the small intestine by RA. Intestinal mucosal immunity (IgA titre) and systemic immunity (serum IgG titre) were enhanced by RA. Therefore, we hypothesized that RA could induce DCs to form an immature mucosal phenotype and could recruit them to the small intestinal submucosa. Porcine T-cells expressed β7 integrin and CCR9 receptors and migrated to CCL25 by a mechanism that was dependent of activation by RA-pretreated DCs, rather than direct activation by RA. Together, our results provide powerful evidence that RA can assist whole inactivated TGEV (WI-TGEV) via subcutaneous (s.c.) immunization to generate intestinal immunity, and offer new vaccination strategies against TGEV.","Therefore, we hypothesized that RA could induce DCs to form an immature mucosal phenotype and could recruit them to the small intestinal submucosa.","['Therefore', ',', 'we', 'hypothesized', 'that', 'RA', 'could', 'induce', 'DCs', 'to', 'form', 'an_immature_mucosal_phenotype', 'and', 'could', 'recruit', 'them', 'to', 'the_small_intestinal_submucosa', '.']","Therefore , we hypothesized that RA could induce DCs to form an_immature_mucosal_phenotype and could recruit them to the_small_intestinal_submucosa .","['RA', 'DCs', 'an_immature_mucosal_phenotype', 'the_small_intestinal_submucosa']"
"BACKGROUND: FIV infection frequently compromises pregnancy under experimental conditions and is accompanied by aberrant expression of some placental cytokines. Trophoblasts produce numerous immunomodulators that play a role in placental development and pregnancy maintenance. We hypothesized that FIV infection may cause dysregulation of trophoblast immunomodulator expression, and aberrant expression of these molecules may potentiate inflammation and compromise pregnancy. The purpose of this project was to evaluate the expression of representative pro-(TNF-α, IFN-γ, IL-1β, IL-2, IL-6, IL-12p35, IL-12p40, IL-18, and GM-CSF) and anti-inflammatory cytokines (IL-4, IL-5, and IL-10); CD134, a secondary co-stimulatory molecule expressed on activated T cells (FIV primary receptor); the chemokine receptor CXCR4 (FIV co-receptor); SDF-1α, the chemokine ligand to CXCR4; and FIV gag in trophoblasts from early-and late-term pregnancy. METHODS: We used an anti-cytokeratin antibody in immunohistochemistry to identify trophoblasts selectively, collected these cells using laser capture microdissection, and extracted total RNA from the captured cell populations. Real time, reverse transcription-PCR was used to quantify gene expression. RESULTS: We detected IL-4, IL-5, IL-6, IL-1β, IL-12p35, IL-12p40, and CXCR4 in trophoblasts from early-and late-term pregnancy. Expression of cytokines increased from early to late pregnancy in normal tissues. A clear, pro-inflammatory microenvironment was not evident in trophoblasts from FIV-infected queens at either stage of pregnancy. Reproductive failure was accompanied by down-regulation of both pro-and anti-inflammatory cytokines. CD134 was not detected in trophoblasts, and FIV gag was detected in only one of ten trophoblast specimens collected from FIV-infected queens. CONCLUSION: Feline trophoblasts express an array of pro-and anti-inflammatory immunomodulators whose expression increases from early to late pregnancy in normal tissues. Non-viable pregnancies were associated with decreased expression of immunomodulators which regulate trophoblast invasion in other species. The detection of FIV RNA in trophoblasts was rare, suggesting that the high rate of reproductive failure in FIV-infected queens was not a direct result of viral replication in trophoblasts. The influence of placental immune cells on trophoblast function and pregnancy maintenance in the FIV-infected cat requires additional study.","We hypothesized that FIV infection may cause dysregulation of trophoblast immunomodulator expression, and aberrant expression of these molecules may potentiate inflammation and compromise pregnancy.","['We', 'hypothesized', 'that', 'FIV_infection', 'may', 'cause', 'dysregulation', 'of', 'trophoblast_immunomodulator_expression', ',', 'and', 'aberrant_expression', 'of', 'these_molecules', 'may', 'potentiate', 'inflammation', 'and', 'compromise_pregnancy', '.']","We hypothesized that FIV_infection may cause dysregulation of trophoblast_immunomodulator_expression , and aberrant_expression of these_molecules may potentiate inflammation and compromise_pregnancy .","['FIV_infection', 'dysregulation', 'trophoblast_immunomodulator_expression', 'aberrant_expression', 'these_molecules', 'inflammation', 'compromise_pregnancy']"
"Chikungunya virus (CHIKV) is a reemerging global health threat that produces debilitating arthritis in people. Like other RNA viruses with high mutation rates, CHIKV produces populations of genetically diverse genomes within a host. While several known CHIKV mutations influence disease severity in vertebrates and transmission by mosquitoes, the role of intrahost diversity in chikungunya arthritic disease has not been studied. In this study, high- and low-fidelity CHIKV variants, previously characterized by altered in vitro population mutation frequencies, were used to evaluate how intrahost diversity influences clinical disease, CHIKV replication, and antibody neutralization in immunocompetent adult mice inoculated in the rear footpads. Both high- and low-fidelity mutations were hypothesized to attenuate CHIKV arthritic disease, replication, and neutralizing antibody levels compared to wild-type (WT) CHIKV. Unexpectedly, high-fidelity mutants elicited more severe arthritic disease than the WT despite comparable CHIKV replication, whereas a low-fidelity mutant produced attenuated disease and replication. Serum antibody developed against both high- and low-fidelity CHIKV exhibited reduced neutralization of WT CHIKV. Using next-generation sequencing (NGS), the high-fidelity mutations were demonstrated to be genetically stable but produced more genetically diverse populations than WT CHIKV in mice. This enhanced diversification was subsequently reproduced after serial in vitro passage. The NGS results contrast with previously reported population diversities for fidelity variants, which focused mainly on part of the E1 gene, and highlight the need for direct measurements of mutation rates to clarify CHIKV fidelity phenotypes. IMPORTANCE CHIKV is a reemerging global health threat that elicits debilitating arthritis in humans. There are currently no commercially available CHIKV vaccines. Like other RNA viruses, CHIKV has a high mutation rate and is capable of rapid intrahost diversification during an infection. In other RNA viruses, virus population diversity associates with disease progression; however, potential impacts of intrahost viral diversity on CHIKV arthritic disease have not been studied. Using previously characterized CHIKV fidelity variants, we addressed whether CHIKV population diversity influences the severity of arthritis and host antibody response in an arthritic mouse model. Our findings show that CHIKV populations with greater genetic diversity can cause more severe disease and stimulate antibody responses with reduced neutralization of low-diversity virus populations in vitro. The discordant high-fidelity phenotypes in this study highlight the complexity of inferring replication fidelity indirectly from population diversity.","Both high- and low-fidelity mutations were hypothesized to attenuate CHIKV arthritic disease, replication, and neutralizing antibody levels compared to wild-type (WT) CHIKV.","['Both_high-_and_low-fidelity_mutations', 'were', 'hypothesized', 'to', 'attenuate', 'CHIKV_arthritic_disease', ',', 'replication', ',', 'and', 'neutralizing', 'antibody_levels', 'compared', 'to', 'wild-type_(WT)_CHIKV', '.']","Both_high-_and_low-fidelity_mutations were hypothesized to attenuate CHIKV_arthritic_disease , replication , and neutralizing antibody_levels compared to wild-type_(WT)_CHIKV .","['Both_high-_and_low-fidelity_mutations', 'CHIKV_arthritic_disease', 'replication', 'antibody_levels', 'wild-type_(WT)_CHIKV']"
"ABSTRACT Health problems can be thought of as phenotypic expressions of the complex relationships between genes, environments, and phenomes as a whole. Detailed evaluations of phenotypic expressions of illness are required to characterize important biological outcomes. We hypothesized that classifying dairy calf mortality phenotypes via a systematic postmortem analysis would identify different cause-of-death diagnoses than those derived from treatments alone. This cross-sectional study was carried out on a dairy calf ranch in the northwestern United States from June to September 2017 and focused on calves ≤90 d of age. Comparisons were made between causes of death based on 3 levels of information: on-farm treatment records alone, necropsy-based postmortem analyses in addition to treatment records, and Washington Animal Disease Diagnostic Laboratory (WADDL) results in addition to all other information. A total of 210 dairy calves were necropsied during this study, of which 122 cases were submitted to WADDL. Necropsy- and WADDL-derived mortality phenotypes were in almost perfect agreement (Cohen's κ = 0.86) when broadly categorized as diarrhea, respiratory, diarrhea and respiratory combined, or other causes. The level of agreement between on-farm treatment records and postmortem-derived results was low and varied by the level of diagnostic detail provided. There was just fair agreement (κ = 0.22) between treatment-based and necropsy-based phenotypes without WADDL input and only slight agreement (κ = 0.13) between treatment-based and corresponding necropsy-based phenotypes with WADDL input. Even for those cases in which causes of death aligned along a comparable pathologic spectrum, the lack of detail inherent to standard treatment-based causes of death failed to identify meaningful target areas for intervention. This was especially apparent for numerous cases of necrotizing enteritis and typhlitis (cecal inflammation) that were variously categorized as diarrhea and pneumonia by treatment-based diagnoses. The specificity of these lesions stood in stark contrast to the otherwise generic cause of death diagnoses derived from treatments. The findings from this study supported the hypothesis and highlighted the value of on-farm necropsies and laboratory-based diagnostics to (1) detect antemortem disease misclassifications, (2) provide detail regarding disease processes and mortality phenotypes, and (3) direct disease mitigation strategies.",We hypothesized that classifying dairy calf mortality phenotypes via a systematic postmortem analysis would identify different cause-of-death diagnoses than those derived from treatments alone.,"['We', 'hypothesized', 'that', 'classifying', 'dairy_calf_mortality_phenotypes', 'via', 'a_systematic_postmortem_analysis', 'would', 'identify', 'different', 'cause', '-', 'of', '-', 'death', 'diagnoses', 'than', 'those', 'derived', 'from', 'treatments', 'alone', '.']",We hypothesized that classifying dairy_calf_mortality_phenotypes via a_systematic_postmortem_analysis would identify different cause - of - death diagnoses than those derived from treatments alone .,"['dairy_calf_mortality_phenotypes', 'a_systematic_postmortem_analysis', 'cause', 'death', 'diagnoses', 'treatments']"
"Porcine Reproductive and Respiratory Syndrome Virus (PRRSV) is the most important endemic pathogen in the U.S. swine industry. Despite control efforts involving improved biosecurity and different vaccination protocols, the virus continues to circulate and evolve. One of the foremost challenges in its control is high levels of genetic and antigenic diversity. Here, we quantify the co-circulation, emergence and sequential turnover of multiple PRRSV lineages in a single swine-producing region in the United States over a span of 9 years (2009–2017). By classifying over 4,000 PRRSV sequences (open-reading frame 5) into phylogenetic lineages and sub-lineages, we document the ongoing diversification and temporal dynamics of the PRRSV population, including the rapid emergence of a novel sub-lineage that appeared to be absent globally pre-2008. In addition, lineage 9 was the most prevalent lineage from 2009 to 2010, but its occurrence fell to 0.5% of all sequences identified per year after 2014, coinciding with the emergence or re-emergence of lineage 1 as the dominant lineage. The sequential dominance of different lineages, as well as three different sub-lineages within lineage 1, is consistent with the immune-mediated selection hypothesis for the sequential turnover in the dominant lineage. As host populations build immunity through natural infection or vaccination toward the most common variant, this dominant (sub-) lineage may be replaced by an emerging variant to which the population is more susceptible. An analysis of patterns of non- synonymous and synonymous mutations revealed evidence of positive selection on immunologically important regions of the genome, further supporting the potential that immune-mediated selection shapes the evolutionary and epidemiological dynamics for this virus. This has important implications for patterns of emergence and re-emergence of genetic variants of PRRSV that have negative impacts on the swine industry. Constant surveillance on PRRSV occurrence is crucial to a better understanding of the epidemiological and evolutionary dynamics of co-circulating viral lineages. Further studies utilizing whole genome sequencing and exploring the extent of cross-immunity between heterologous PRRS viruses could shed further light on PRRSV immunological response and aid in developing strategies that might be able to diminish disease impact.","The sequential dominance of different lineages, as well as three different sub-lineages within lineage 1, is consistent with the immune-mediated selection hypothesis for the sequential turnover in the dominant lineage.","['The_sequential_dominance', 'of', 'different_lineages', ',', 'as', 'well', 'as', 'three_different_sub-lineages', 'within', 'lineage', '1', ',', 'is', 'consistent', 'with', 'the_immune-mediated_selection_hypothesis', 'for', 'the_sequential_turnover', 'in', 'the_dominant_lineage', '.']","The_sequential_dominance of different_lineages , as well as three_different_sub-lineages within lineage 1 , is consistent with the_immune-mediated_selection_hypothesis for the_sequential_turnover in the_dominant_lineage .","['The_sequential_dominance', 'different_lineages', 'three_different_sub-lineages', 'lineage', 'the_sequential_turnover', 'the_dominant_lineage']"
"The need for multidisciplinary research to address today's complex health and environmental challenges has never been greater. The One Health (OH) approach to research ensures that human, animal, and environmental health questions are evaluated in an integrated and holistic manner to provide a more comprehensive understanding of the problem and potential solutions than would be possible with siloed approaches. However, the OH approach is complex, and there is limited guidance available for investigators regarding the practical design and implementation of OH research. In this paper we provide a framework to guide researchers through conceptualizing and planning an OH study. We discuss key steps in designing an OH study, including conceptualization of hypotheses and study aims, identification of collaborators for a multi-disciplinary research team, study design options, data sources and collection methods, and analytical methods. We illustrate these concepts through the presentation of a case study of health impacts associated with land application of biosolids. Finally, we discuss opportunities for applying an OH approach to identify solutions to current global health issues, and the need for cross-disciplinary funding sources to foster an OH approach to research.","We discuss key steps in designing an OH study, including conceptualization of hypotheses and study aims, identification of collaborators for a multi-disciplinary research team, study design options, data sources and collection methods, and analytical methods.","['We', 'discuss', 'key_steps', 'in', 'designing', 'an_OH_study', ',', 'including', 'conceptualization', 'of', 'hypotheses', 'and', 'study_aims', ',', 'identification', 'of', 'collaborators', 'for', 'a_multi-disciplinary_research_team', ',', 'study_design_options', ',', 'data_sources', 'and', 'collection_methods', ',', 'and', 'analytical_methods', '.']","We discuss key_steps in designing an_OH_study , including conceptualization of hypotheses and study_aims , identification of collaborators for a_multi-disciplinary_research_team , study_design_options , data_sources and collection_methods , and analytical_methods .","['an_OH_study', 'conceptualization', 'hypotheses', 'study_aims', 'identification', 'collaborators', 'a_multi-disciplinary_research_team', 'study_design_options', 'data_sources', 'collection_methods', 'analytical_methods']"
"Human noroviruses are the primary cause of epidemic and sporadic acute gastroenteritis. The worldwide high morbidity and mortality associated with norovirus infections, particularly among the elderly, immunocompromised patients and children, constitute a serious public health concern. There are currently no approved human vaccines or norovirus-specific small-molecule therapeutics or prophylactics. Norovirus 3CL protease has recently emerged as a potential therapeutic target for the development of anti-norovirus agents. We hypothesized that the S(4) subsite of the enzyme may provide an effective means of designing potent and cell permeable inhibitors of the enzyme. We report herein the structure-guided exploration and exploitation of the S(4) subsite of norovirus 3CL protease in the design and synthesis of effective inhibitors of the protease.",We hypothesized that the S(4),"['We', 'hypothesized', 'that', 'the', 'S(4', ')']",We hypothesized that the S(4 ),['S(4']
