"_NamedEntity","entity_literal","subjects","abstract","confidence_score","wiki_id"
"https://krr.triply.cc/.well-known/genid/e2f1d6c4eb09cff61f38af200e1f00dd","E. coli","Medicine, Biology, Health","http://ns.inria.fr/covid19/92ddf91836b0c96f4b2f36b037e6734541eee711#abstract","1","http://www.wikidata.org/entity/Q25419"
"https://krr.triply.cc/.well-known/genid/a3e47d4d580749cbf3a7eed399c13420","generalist","Environment","http://ns.inria.fr/covid19/d88b5306619ec217f8be41b0e634cece731fa4f3#abstract","1","http://www.wikidata.org/entity/Q3058587"
"https://krr.triply.cc/.well-known/genid/99cbeb806c46a37024cc7027d64cda1f","evolutionary origins","Sociology","http://ns.inria.fr/covid19/d90b2c4decfc17d7349325f437a9ab6082742c24#abstract","1.0265","http://www.wikidata.org/entity/Q83944"
"https://krr.triply.cc/.well-known/genid/624f3b238185d004314ecca907fa9393","lipids","Food","http://ns.inria.fr/covid19/5d977662d00cf3dade0ed89674fc310495dc3aa4#abstract","1","http://www.wikidata.org/entity/Q11367"
"https://krr.triply.cc/.well-known/genid/6f2763b4ea8a1b3281c8e8530f2ec480","regression analysis","Mathematics, Economy, Finance, Statistics","http://ns.inria.fr/covid19/87795a5783981250b35b32635c37fd2a098c4ed6#abstract","1","http://www.wikidata.org/entity/Q208042"
"https://krr.triply.cc/.well-known/genid/ef17b84cb18885bc7d90e0d7e1751bc3","gross domestic product","Finance","http://ns.inria.fr/covid19/fe9cc4439e25d29464e446d9c8fdf2b3f3a1b663#abstract","1","http://www.wikidata.org/entity/Q12638"
"https://krr.triply.cc/.well-known/genid/9baacdb5397d02b920a90769b2676269","infection","Medicine, Health","http://ns.inria.fr/covid19/48346dec8180ad8bc1f1bcab9fb95f52d13c920f#abstract","1","http://www.wikidata.org/entity/Q166231"
"https://krr.triply.cc/.well-known/genid/09efddd75f4d2da5c14cd9bad616b905","transfection","Engineering, Biology","http://ns.inria.fr/covid19/87950d1597c94a098901af9167b3e377218ceb66#abstract","1","http://www.wikidata.org/entity/Q1429031"
"https://krr.triply.cc/.well-known/genid/a44032385bfcd6dea05861392c41d3be","caterpillars","Animals, Biology","http://ns.inria.fr/covid19/9f9e925d9999ab39745f2ee8be3efffb5277d082#abstract","1","http://www.wikidata.org/entity/Q81825"
"https://krr.triply.cc/.well-known/genid/10b6d22158467d7668ea4d6c765789d5","blood brain barrier","Medicine, Psychiatry","http://ns.inria.fr/covid19/ecc404eb232cf6f9f84bce14a55b7abfcecdc98a#abstract","1","http://www.wikidata.org/entity/Q221694"
"https://krr.triply.cc/.well-known/genid/7f61f14d04bfc3ad20a8160bb339b02c","oropharyngeal","Medicine, Animal_Husbandry","http://ns.inria.fr/covid19/95b52ba175efece646939c3117621966fe6c9fb7#abstract","1","http://www.wikidata.org/entity/Q174778"
"https://krr.triply.cc/.well-known/genid/ec143b770c3bfd91b9f28817dd25f5d3","virus","Biology","http://ns.inria.fr/covid19/7b329eb91fdc5ea7e947a48e414a7a1f10ed40c9#abstract","1","http://www.wikidata.org/entity/Q808"
"https://krr.triply.cc/.well-known/genid/a864580ede37329e4ab89cb793683409","FeLV","Animal_Husbandry","http://ns.inria.fr/covid19/3341998ccda48a6464d056736f52a967b45df144#abstract","1","http://www.wikidata.org/entity/Q769471"
